scheme,code,label_de
RegioStaR2,1,Stadtregion
RegioStaR2,2,Ländliche Region
RegioStaR4,11,Metropolitane Stadtregion
RegioStaR4,12,Regiopolitane Stadtregion
RegioStaR4,21,Stadtregionsnahe ländliche Region
RegioStaR4,22,Periphere ländliche Region
RegioStaR5,51,Stadtregion - Metropole
RegioStaR5,52,Stadtregion - Regiopole und Großstadt
RegioStaR5,53,Stadtregion - Umland
RegioStaR5,54,"Ländliche Region - Städte, städtischer Raum"
RegioStaR5,55,"Ländliche Region - Kleinstädtischer, dörflicher Raum"
RegioStaR7,71,Stadtregion - Metropole
RegioStaR7,72,Stadtregion - Regiopole und Großstadt
RegioStaR7,73,"Stadtregion - Mittelstadt, städtischer Raum"
RegioStaR7,74,"Stadtregion - Kleistädtischer, dörflicher Raum"
RegioStaR7,75,Ländliche Region - Zentrale Stadt
RegioStaR7,76,Ländliche Region - Städtischer Raum
RegioStaR7,77,"Ländliche Region - Kleinstädtischer, dörflicher Raum"
RegioStaR17,111,Metropolitane Stadregion - Metropole
RegioStaR17,112,Metropolitane Stadregion - Großstadt
RegioStaR17,113,Metropolitane Stadregion - Mittelstadt
RegioStaR17,114,Metropolitane Stadregion - Städtischer Raum
RegioStaR17,115,"Metropolitane Stadregion - Kleinstädtischer, dörflicher Raum"
RegioStaR17,121,Regiopolitane Stadtregion - Regiopole
RegioStaR17,123,Regiopolitane Stadtregion - Mittelstadt
RegioStaR17,124,Regiopolitane Stadtregion - Städtischer Raum
RegioStaR17,125,"Regiopolitane Stadtregion - Kleinstädtischer, dörflicher Raum"
RegioStaR17,211,Stadtregionsnahe ländliche Region - Zentrale Stadt
RegioStaR17,213,Stadtregionsnahe ländliche Region - Mittelstadt
RegioStaR17,214,Stadtregionsnahe ländliche Region - Städtischer Raum
RegioStaR17,215,"Stadtregionsnahe ländliche Region - Kleinstädtischer, dörflicher Raum"
RegioStaR17,221,Periphere ländliche Region - Zentrale Stadt
RegioStaR17,223,Periphere ländliche Region - Mittelstadt
RegioStaR17,224,Periphere ländliche Region - Städtischer Raum
RegioStaR17,225,"Periphere ländliche Region - Kleinstädtischer, dörflicher Raum"
RegioStaR17-plus,111,Metropolitane Stadregion - Metropole
RegioStaR17-plus,1111,Metropole - Innenstadt
RegioStaR17-plus,1112,Metropole - Innenstadtrand
RegioStaR17-plus,1113,Metropole - Stadtrand
RegioStaR17-plus,112,Metropolitane Stadregion - Großstadt
RegioStaR17-plus,113,Metropolitane Stadregion - Mittelstadt
RegioStaR17-plus,114,Metropolitane Stadregion - Städtischer Raum
RegioStaR17-plus,115,"Metropolitane Stadregion - Kleinstädtischer, dörflicher Raum"
RegioStaR17-plus,121,Regiopolitane Stadtregion - Regiopole
RegioStaR17-plus,123,Regiopolitane Stadtregion - Mittelstadt
RegioStaR17-plus,124,Regiopolitane Stadtregion - Städtischer Raum
RegioStaR17-plus,125,"Regiopolitane Stadtregion - Kleinstädtischer, dörflicher Raum"
RegioStaR17-plus,211,Stadtregionsnahe ländliche Region - Zentrale Stadt
RegioStaR17-plus,213,Stadtregionsnahe ländliche Region - Mittelstadt
RegioStaR17-plus,214,Stadtregionsnahe ländliche Region - Städtischer Raum
RegioStaR17-plus,215,"Stadtregionsnahe ländliche Region - Kleinstädtischer, dörflicher Raum"
RegioStaR17-plus,221,Periphere ländliche Region - Zentrale Stadt
RegioStaR17-plus,223,Periphere ländliche Region - Mittelstadt
RegioStaR17-plus,224,Periphere ländliche Region - Städtischer Raum
RegioStaR17-plus,225,"Periphere ländliche Region - Kleinstädtischer, dörflicher Raum"
RegioStaRGem7,71,Metropole
RegioStaRGem7,72,Regiopole
RegioStaRGem7,73,Großstadt
RegioStaRGem7,74,Zentrale Stadt
RegioStaRGem7,75,Mittelstadt
RegioStaRGem7,76,Städtischer Raum
RegioStaRGem7,77,"Kleinstädtischer, dörflicher Raum"
RegioStaRGem5,51,Metropole
RegioStaRGem5,52,"Regiopole, Großstadt"
RegioStaRGem5,53,"Zentrale Stadt, Mittelstadt"
RegioStaRGem5,54,Städtischer Raum
RegioStaRGem5,55,"Kleinstädtischer, dörflicher Raum"
